student_id,10th_marks,12th_marks,sem1_gpa,sem2_gpa,attendance,backlogs,nm_courses,dropout_risk
STU001,98,96,5.09,9.0,67,0,7,0
STU002,88,93,9.36,6.0,62,4,6,1
STU003,74,68,9.66,5.84,77,2,8,0
STU004,67,85,7.83,5.52,97,3,1,0
STU005,80,59,8.48,8.18,55,1,3,0
STU006,98,89,9.61,8.53,99,0,5,0
STU007,78,77,8.54,5.16,78,2,2,0
STU008,82,83,5.76,9.68,89,1,7,0
STU009,70,97,7.88,5.26,78,1,2,0
STU010,70,65,8.03,7.71,71,2,1,0
STU011,83,72,7.12,8.55,59,0,2,0
STU012,95,66,8.68,9.35,74,0,5,0
STU013,83,63,9.67,8.57,75,4,1,0
STU014,62,64,9.63,9.01,94,3,7,0
STU015,81,71,7.25,6.7,85,2,0,0
STU016,61,92,5.57,9.07,90,2,6,0
STU017,83,61,9.92,5.4,65,2,1,1
STU018,89,67,9.19,9.47,69,0,9,0
STU019,97,94,5.62,7.74,73,3,5,0
STU020,61,96,9.6,9.09,61,4,1,1
STU021,80,63,9.35,7.26,82,1,1,0
STU022,92,81,7.59,8.22,97,1,9,0
STU023,71,56,7.96,7.63,59,2,7,1
STU024,81,59,7.0,8.66,59,3,1,1
STU025,84,83,5.27,5.41,84,0,6,0
STU026,86,91,6.68,5.3,86,3,2,0
STU027,87,92,9.01,6.24,62,3,7,1
STU028,75,73,5.02,5.8,64,0,6,0
STU029,74,62,6.67,9.36,92,2,7,0
STU030,62,55,6.99,6.1,86,3,6,0
STU031,96,76,7.69,9.88,82,1,5,0
STU032,66,71,9.6,6.68,71,0,6,0
STU033,80,61,6.73,5.91,85,4,4,0
STU034,68,79,6.73,8.95,62,2,6,1
STU035,98,58,8.69,8.29,94,0,0,0
STU036,77,90,7.26,7.49,79,4,0,0
STU037,63,60,6.12,7.78,63,4,8,1
STU038,84,85,7.26,8.6,56,3,4,1
STU039,73,73,5.7,6.14,69,3,4,1
STU040,68,93,5.88,9.98,57,3,2,1
STU041,85,81,7.49,9.87,90,0,4,0
STU042,61,64,7.09,8.25,58,0,2,0
STU043,79,80,9.57,6.0,68,2,8,1
STU044,87,73,6.81,8.4,95,3,8,0
STU045,66,93,7.9,5.36,95,4,5,0
STU046,67,57,8.16,5.15,79,1,0,0
STU047,94,67,5.07,6.29,64,2,6,1
STU048,73,82,8.32,7.31,75,0,6,0
STU049,76,74,5.89,9.34,90,2,9,0
STU050,95,82,9.81,8.64,66,2,9,1
STU051,63,62,5.74,8.71,81,2,3,0
STU052,61,95,7.07,7.13,94,2,7,0
STU053,65,93,5.43,6.73,56,1,5,0
STU054,63,55,9.98,6.86,67,3,3,1
STU055,88,57,7.51,9.94,86,4,3,0
STU056,77,67,7.98,5.2,85,2,1,0
STU057,85,82,5.34,9.34,70,2,1,0
STU058,93,79,8.75,7.89,86,2,3,0
STU059,69,87,6.05,7.19,86,3,4,0
STU060,95,92,9.49,8.63,88,0,7,0
STU061,73,60,6.03,7.43,65,0,5,0
STU062,90,86,5.95,9.37,64,1,3,0
STU063,74,75,5.18,9.5,69,0,6,0
STU064,67,70,7.36,7.11,71,2,7,0
STU065,73,75,7.82,6.38,94,2,1,0
STU066,82,65,5.33,7.96,72,2,6,0
